lambda   eta   Acctrain  Acctest
0 0.1 0.10020876826722339 0.1
0 0.01 0.9979123173277662 0.9555555555555556
0 0.001 0.9443284620737648 0.8833333333333333
0 0.0001 0.6534446764091858 0.5972222222222222
0 1e-05 0.24008350730688935 0.225
0 1e-06 0.0918580375782881 0.10833333333333334
1e-06 0.1 0.10160055671537926 0.1
1e-06 0.01 0.9979123173277662 0.9333333333333333
1e-06 0.001 0.9498956158663883 0.875
1e-06 0.0001 0.7063326374391092 0.6666666666666666
1e-06 1e-05 0.14613778705636743 0.16111111111111112
1e-06 1e-06 0.13639526791927628 0.10555555555555556
1e-05 0.1 0.10020876826722339 0.1
1e-05 0.01 0.9993041057759221 0.9305555555555556
1e-05 0.001 0.9491997216423104 0.85
1e-05 0.0001 0.6033402922755741 0.5555555555555556
1e-05 1e-05 0.22477383437717466 0.18888888888888888
1e-05 1e-06 0.07376478775226165 0.08611111111111111
0.0001 0.1 0.10299234516353514 0.09444444444444444
0.0001 0.01 0.9986082115518441 0.925
0.0001 0.001 0.9491997216423104 0.875
0.0001 0.0001 0.6610995128740431 0.6111111111111112
0.0001 1e-05 0.2115518441196938 0.21388888888888888
0.0001 1e-06 0.0744606819763396 0.06111111111111111
0.001 0.1 0.10020876826722339 0.1
0.001 0.01 0.9979123173277662 0.9277777777777778
0.001 0.001 0.9512874043145442 0.875
0.001 0.0001 0.7230340988169798 0.7083333333333334
0.001 1e-05 0.24634655532359082 0.18333333333333332
0.001 1e-06 0.14126652748782184 0.17222222222222222
0.01 0.1 0.10299234516353514 0.09444444444444444
0.01 0.01 0.9972164231036882 0.9416666666666667
0.01 0.001 0.9526791927627001 0.875
0.01 0.0001 0.6986778009742519 0.6555555555555556
0.01 1e-05 0.11343075852470424 0.14722222222222223
0.01 1e-06 0.08698677800974251 0.10277777777777777
0.1 0.1 0.09464161447459986 0.11944444444444445
0.1 0.01 0.9951287404314544 0.9638888888888889
0.1 0.001 0.9700765483646486 0.9166666666666666
0.1 0.0001 0.6430062630480167 0.6222222222222222
0.1 1e-05 0.15518441196938065 0.15833333333333333
0.1 1e-06 0.08698677800974251 0.11388888888888889
1.0 0.1 0.10438413361169102 0.08611111111111111
1.0 0.01 0.9178844815588031 0.9166666666666666
1.0 0.001 0.9867780097425192 0.9694444444444444
1.0 0.0001 0.6764091858037579 0.6277777777777778
1.0 1e-05 0.1802366040361865 0.15833333333333333
1.0 1e-06 0.11412665274878218 0.13055555555555556
