lambda   eta   Acctrain  Acctest
0 0.1 0.10160055671537926 0.1
0 0.01 1.0 0.9333333333333333
0 0.001 0.9561586638830898 0.8722222222222222
0 0.0001 0.6555323590814196 0.525
0 1e-05 0.19763395963813501 0.16944444444444445
0 1e-06 0.038274182324286705 0.06111111111111111
1e-06 0.1 0.09464161447459986 0.11944444444444445
1e-06 0.01 1.0 0.9416666666666667
1e-06 0.001 0.9498956158663883 0.8527777777777777
1e-06 0.0001 0.6116910229645094 0.5444444444444444
1e-06 1e-05 0.15518441196938065 0.14166666666666666
1e-06 1e-06 0.12595685455810718 0.10833333333333334
1e-05 0.1 0.09742519137091162 0.09444444444444444
1e-05 0.01 1.0 0.9444444444444444
1e-05 0.001 0.9631176061238692 0.85
1e-05 0.0001 0.6263048016701461 0.5833333333333334
1e-05 1e-05 0.19554627696590118 0.17777777777777778
1e-05 1e-06 0.10508002783576896 0.1111111111111111
0.0001 0.1 0.10438413361169102 0.08611111111111111
0.0001 0.01 1.0 0.9472222222222222
0.0001 0.001 0.9624217118997912 0.8777777777777778
0.0001 0.0001 0.6137787056367432 0.5805555555555556
0.0001 1e-05 0.23312456506610996 0.2
0.0001 1e-06 0.0744606819763396 0.06388888888888888
0.001 0.1 0.10299234516353514 0.09444444444444444
0.001 0.01 1.0 0.9444444444444444
0.001 0.001 0.9561586638830898 0.8694444444444445
0.001 0.0001 0.6826722338204593 0.6416666666666667
0.001 1e-05 0.2303409881697982 0.20277777777777778
0.001 1e-06 0.1475295755045233 0.11666666666666667
0.01 0.1 0.09951287404314545 0.10555555555555556
0.01 0.01 1.0 0.9444444444444444
0.01 0.001 0.9589422407794015 0.8861111111111111
0.01 0.0001 0.640222686151705 0.5611111111111111
0.01 1e-05 0.16562282533054976 0.16944444444444445
0.01 1e-06 0.08768267223382047 0.07222222222222222
0.1 0.1 0.09812108559498957 0.1
0.1 0.01 0.9839944328462074 0.9555555555555556
0.1 0.001 0.9700765483646486 0.8833333333333333
0.1 0.0001 0.6617954070981211 0.5805555555555556
0.1 1e-05 0.15031315240083507 0.14444444444444443
0.1 1e-06 0.10020876826722339 0.10277777777777777
1.0 0.1 0.10160055671537926 0.1
1.0 0.01 0.720946416144746 0.7166666666666667
1.0 0.001 0.8747390396659708 0.8583333333333333
1.0 0.0001 0.6951983298538622 0.6583333333333333
1.0 1e-05 0.11969380654140571 0.11388888888888889
1.0 1e-06 0.14822546972860126 0.16944444444444445
