lambda   eta   Acctrain  Acctest
0 0.1 0.10160055671537926 0.08888888888888889
0 0.01 0.10160055671537926 0.08888888888888889
0 0.001 0.10160055671537926 0.08888888888888889
0 0.0001 0.10160055671537926 0.08888888888888889
0 1e-05 0.10160055671537926 0.08888888888888889
0 1e-06 0.10160055671537926 0.08888888888888889
1e-06 0.1 0.10160055671537926 0.08888888888888889
1e-06 0.01 0.10160055671537926 0.08888888888888889
1e-06 0.001 0.10160055671537926 0.08888888888888889
1e-06 0.0001 0.10160055671537926 0.08888888888888889
1e-06 1e-05 0.10160055671537926 0.08888888888888889
1e-06 1e-06 0.5908141962421712 0.5972222222222222
1e-05 0.1 0.10160055671537926 0.08888888888888889
1e-05 0.01 0.10160055671537926 0.08888888888888889
1e-05 0.001 0.10160055671537926 0.08888888888888889
1e-05 0.0001 1.0 0.9333333333333333
1e-05 1e-05 0.9380654140570633 0.8722222222222222
1e-05 1e-06 0.10160055671537926 0.08888888888888889
0.0001 0.1 0.10160055671537926 0.08888888888888889
0.0001 0.01 0.10160055671537926 0.08888888888888889
0.0001 0.001 0.10160055671537926 0.08888888888888889
0.0001 0.0001 0.10160055671537926 0.08888888888888889
0.0001 1e-05 0.10160055671537926 0.08888888888888889
0.0001 1e-06 0.10160055671537926 0.08888888888888889
0.001 0.1 0.10160055671537926 0.08888888888888889
0.001 0.01 0.10160055671537926 0.08888888888888889
0.001 0.001 0.10160055671537926 0.08888888888888889
0.001 0.0001 0.10160055671537926 0.08888888888888889
0.001 1e-05 0.9157967988865693 0.8694444444444445
0.001 1e-06 0.6068197633959638 0.5833333333333334
0.01 0.1 0.10160055671537926 0.08888888888888889
0.01 0.01 0.10160055671537926 0.08888888888888889
0.01 0.001 0.10160055671537926 0.08888888888888889
0.01 0.0001 1.0 0.9194444444444444
0.01 1e-05 0.10160055671537926 0.08888888888888889
0.01 1e-06 0.5400139178844816 0.49166666666666664
0.1 0.1 0.10160055671537926 0.08888888888888889
0.1 0.01 0.10160055671537926 0.08888888888888889
0.1 0.001 0.10160055671537926 0.08888888888888889
0.1 0.0001 0.10160055671537926 0.08888888888888889
0.1 1e-05 0.10160055671537926 0.08888888888888889
0.1 1e-06 0.10160055671537926 0.08888888888888889
1.0 0.1 0.10160055671537926 0.08888888888888889
1.0 0.01 0.10160055671537926 0.08888888888888889
1.0 0.001 0.10160055671537926 0.08888888888888889
1.0 0.0001 1.0 0.9305555555555556
1.0 1e-05 0.10160055671537926 0.08888888888888889
1.0 1e-06 0.10160055671537926 0.08888888888888889
