lambda   eta   Acctrain  Acctest
0 0.1 0.10160055671537926 0.08888888888888889
0 0.01 0.10160055671537926 0.08888888888888889
0 0.001 0.10160055671537926 0.08888888888888889
0 0.0001 0.10160055671537926 0.08888888888888889
0 1e-05 0.10160055671537926 0.08888888888888889
0 1e-06 0.10160055671537926 0.08888888888888889
1e-06 0.1 0.10160055671537926 0.08888888888888889
1e-06 0.01 0.10160055671537926 0.08888888888888889
1e-06 0.001 0.10160055671537926 0.08888888888888889
1e-06 0.0001 0.10160055671537926 0.08888888888888889
1e-06 1e-05 0.9311064718162839 0.85
1e-06 1e-06 0.10160055671537926 0.08888888888888889
1e-05 0.1 0.10160055671537926 0.08888888888888889
1e-05 0.01 0.10160055671537926 0.08888888888888889
1e-05 0.001 0.10160055671537926 0.08888888888888889
1e-05 0.0001 1.0 0.9111111111111111
1e-05 1e-05 0.10160055671537926 0.08888888888888889
1e-05 1e-06 0.10160055671537926 0.08888888888888889
0.0001 0.1 0.10160055671537926 0.08888888888888889
0.0001 0.01 0.10160055671537926 0.08888888888888889
0.0001 0.001 0.10160055671537926 0.08888888888888889
0.0001 0.0001 0.10160055671537926 0.08888888888888889
0.0001 1e-05 0.10160055671537926 0.08888888888888889
0.0001 1e-06 0.6116910229645094 0.5888888888888889
0.001 0.1 0.10160055671537926 0.08888888888888889
0.001 0.01 0.10160055671537926 0.08888888888888889
0.001 0.001 0.10160055671537926 0.08888888888888889
0.001 0.0001 0.9972164231036882 0.9305555555555556
0.001 1e-05 0.9178844815588031 0.8888888888888888
0.001 1e-06 0.10160055671537926 0.08888888888888889
0.01 0.1 0.10160055671537926 0.08888888888888889
0.01 0.01 0.10160055671537926 0.08888888888888889
0.01 0.001 0.10160055671537926 0.08888888888888889
0.01 0.0001 0.10160055671537926 0.08888888888888889
0.01 1e-05 0.9123173277661796 0.8611111111111112
0.01 1e-06 0.10160055671537926 0.08888888888888889
0.1 0.1 0.10160055671537926 0.08888888888888889
0.1 0.01 0.10160055671537926 0.08888888888888889
0.1 0.001 0.10160055671537926 0.08888888888888889
0.1 0.0001 0.10160055671537926 0.08888888888888889
0.1 1e-05 0.10160055671537926 0.08888888888888889
0.1 1e-06 0.5469728601252609 0.49444444444444446
1.0 0.1 0.10160055671537926 0.08888888888888889
1.0 0.01 0.10160055671537926 0.08888888888888889
1.0 0.001 0.10160055671537926 0.08888888888888889
1.0 0.0001 0.10160055671537926 0.08888888888888889
1.0 1e-05 0.10160055671537926 0.08888888888888889
1.0 1e-06 0.10160055671537926 0.08888888888888889
