lambda   eta   Acctrain  Acctest
0 0.1 0.10299234516353514 0.09444444444444444
0 0.01 0.97633959638135 0.9166666666666666
0 0.001 0.9380654140570633 0.8555555555555555
0 0.0001 0.7376478775226165 0.6388888888888888
0 1e-05 0.29575504523312457 0.22777777777777777
0 1e-06 0.08698677800974251 0.075
1e-06 0.1 0.09951287404314545 0.10555555555555556
1e-06 0.01 0.9269311064718163 0.9
1e-06 0.001 0.942240779401531 0.8277777777777777
1e-06 0.0001 0.7696590118302018 0.6777777777777778
1e-06 1e-05 0.23451635351426584 0.21944444444444444
1e-06 1e-06 0.15866388308977036 0.125
1e-05 0.1 0.09951287404314545 0.1111111111111111
1e-05 0.01 0.9603340292275574 0.9222222222222223
1e-05 0.001 0.9505915100904663 0.8694444444444445
1e-05 0.0001 0.7202505219206681 0.6111111111111112
1e-05 1e-05 0.2588726513569937 0.24166666666666667
1e-05 1e-06 0.04871259568545581 0.044444444444444446
0.0001 0.1 0.10160055671537926 0.08888888888888889
0.0001 0.01 0.9735560194850382 0.9361111111111111
0.0001 0.001 0.9485038274182325 0.8611111111111112
0.0001 0.0001 0.7383437717466945 0.675
0.0001 1e-05 0.22825330549756437 0.2361111111111111
0.0001 1e-06 0.1022964509394572 0.10555555555555556
0.001 0.1 0.09812108559498957 0.1
0.001 0.01 0.9631176061238692 0.9166666666666666
0.001 0.001 0.9491997216423104 0.8833333333333333
0.001 0.0001 0.7870563674321504 0.7027777777777777
0.001 1e-05 0.29227557411273486 0.24166666666666667
0.001 1e-06 0.14474599860821155 0.1388888888888889
0.01 0.1 0.10438413361169102 0.08611111111111111
0.01 0.01 0.9596381350034795 0.9361111111111111
0.01 0.001 0.9471120389700766 0.85
0.01 0.0001 0.767571329157968 0.6222222222222222
0.01 1e-05 0.19206680584551147 0.16944444444444445
0.01 1e-06 0.09464161447459986 0.11666666666666667
0.1 0.1 0.10438413361169102 0.08611111111111111
0.1 0.01 0.8615170494084899 0.8611111111111112
0.1 0.001 0.9686847599164927 0.8722222222222222
0.1 0.0001 0.7613082811412665 0.6638888888888889
0.1 1e-05 0.20876826722338204 0.19166666666666668
0.1 1e-06 0.10090466249130133 0.08333333333333333
1.0 0.1 0.09742519137091162 0.09444444444444444
1.0 0.01 0.09464161447459986 0.11944444444444445
1.0 0.001 0.9958246346555324 0.975
1.0 0.0001 0.7418232428670842 0.65
1.0 1e-05 0.30410577592205984 0.2361111111111111
1.0 1e-06 0.09742519137091162 0.10833333333333334
