epochs   Acctrain  Acctest
20 0.9770354906054279 0.9222222222222223
40 0.9965205288796103 0.9222222222222223
60 1.0 0.9416666666666667
80 1.0 0.9416666666666667
100 1.0 0.9305555555555556
120 1.0 0.9416666666666667
140 1.0 0.9444444444444444
160 1.0 0.9444444444444444
180 1.0 0.9444444444444444
200 1.0 0.9222222222222223
220 1.0 0.9333333333333333
240 1.0 0.9694444444444444
260 1.0 0.9472222222222222
280 1.0 0.9305555555555556
300 1.0 0.9277777777777778
320 1.0 0.9416666666666667
340 1.0 0.9472222222222222
360 1.0 0.9416666666666667
380 1.0 0.9527777777777777
400 1.0 0.9361111111111111
420 1.0 0.9388888888888889
440 1.0 0.9388888888888889
460 1.0 0.9416666666666667
480 1.0 0.95
500 1.0 0.9277777777777778
520 1.0 0.9416666666666667
540 1.0 0.95
560 1.0 0.925
580 1.0 0.9194444444444444
600 1.0 0.9333333333333333
620 1.0 0.9416666666666667
640 1.0 0.9361111111111111
660 1.0 0.925
680 1.0 0.9444444444444444
700 1.0 0.9444444444444444
720 0.9993041057759221 0.9416666666666667
740 1.0 0.9388888888888889
760 1.0 0.9388888888888889
780 1.0 0.9444444444444444
800 1.0 0.9333333333333333
820 1.0 0.9333333333333333
840 1.0 0.9361111111111111
860 1.0 0.9138888888888889
880 1.0 0.9111111111111111
900 1.0 0.9416666666666667
920 1.0 0.9388888888888889
940 1.0 0.9472222222222222
960 1.0 0.9333333333333333
980 1.0 0.9305555555555556
1000 1.0 0.9444444444444444
