lambda   R2train  R2test
20 0.9534824513065401 0.9237328152452315
40 0.972552594333214 0.8913051574114017
60 0.9814615642626351 0.9691198652984055
80 0.9899416502602439 0.9829846100855206
100 0.9882818675882555 0.980560105603551
120 0.9918143784135026 0.9778120436635263
140 0.989209503491231 0.9663527246350672
160 0.9926630536621305 0.9842232098531204
180 0.9941558974254567 0.982911632047508
200 0.9926984703762993 0.9784872175797791
220 0.9946201818645625 0.9785415429766405
240 0.9925818375827886 0.9831679539842854
260 0.9938506702061513 0.9882444474298309
280 0.995245191122241 0.9316450639472431
300 0.9954597290520844 0.9917348815807606
320 0.9957449885580594 0.9825891189283519
340 0.9968762024829091 0.9915340348788981
360 0.9964815185550705 0.9864118211298637
380 0.9968959767480237 0.9838104301353379
400 0.9966697242933732 0.992386439164105
420 0.9971648924696658 0.9891472999497554
440 0.9967916396539933 0.9880359820086166
460 0.9970253947865992 0.9877806445506145
480 0.9975093311272302 0.9911382009654721
500 0.9974720152275848 0.9905333872294549
520 0.9977778356788861 0.9928722548239876
540 0.9977725692391265 0.9920200661537281
560 0.9977317417767032 0.9917665611183016
580 0.9979126818288131 0.9916977335860132
600 0.9980368911475289 0.98959546102355
620 0.998388122260825 0.9907974233875269
640 0.9974488769454898 0.9919951389397469
660 0.9978393271808953 0.9916171379609842
680 0.9976260146151651 0.9849678312360368
700 0.9979334331180477 0.9884445538111138
720 0.9981500612381836 0.9943532164672207
740 0.9982819848381831 0.9922151704876417
760 0.998106183083626 0.9932257912100431
780 0.9971469264867805 0.9851933492636877
800 0.9981197822242545 0.9934185256372183
820 0.9976655301564258 0.9903265444306891
840 0.9985782494131059 0.9912816975853951
860 0.9986307668214052 0.9954577974423452
880 0.9981548007032297 0.9928811856712164
900 0.9982954090248288 0.9952120884578479
920 0.9984701793981142 0.9935339060363285
940 0.9984532520765892 0.9931136683177928
960 0.9986367861759283 0.9897075838679853
980 0.9980890102305762 0.9926196896068233
1000 0.9982681235753716 0.9888607898686524
