eta   R2train  R2test
1 0.9696594501573788 0.972165749541671
2 0.9522483577750184 0.9585090321133147
3 0.9535295117047027 0.9536125642285994
4 0.9314970236784701 0.9226234445849388
5 0.9777215968901871 0.9691026007499155
6 0.9811364070424365 0.9727227446656658
7 0.9860511595908698 0.9786110500212284
8 0.9881900129743918 0.98317318397793
9 0.9898968896074367 0.9857271995464626
10 0.9907317632290064 0.9819966445991254
11 0.9915713514036099 0.9889255327059326
12 0.9919375793534521 0.9713830871787593
13 0.994458817095828 0.9912462092304798
14 0.9933380431118545 0.986674210350488
15 0.9925076558570805 0.9852058353528854
16 0.9901017265587466 0.9855415467954725
17 0.9936071102636037 0.9905059861592073
18 0.9951956446602811 0.9911411251266946
19 0.9948984771147629 0.9830329482719069
20 0.9954093341960826 0.9905216145980612
21 0.9944104006112114 0.9842995851650972
22 0.9947428573244075 0.9884791490295622
23 0.9955870178997132 0.9929434555920232
24 0.9954435553716274 0.9896594356670119
25 0.9953639491054255 0.9825431026795644
26 0.9944055988984765 0.9856869723334055
27 0.9950823981248196 0.9881148961059377
28 0.9951476173315613 0.9858671540525611
29 0.9956779999660326 0.984646487164031
30 0.9955752282294142 0.9892190483658632
31 0.9957322297949668 0.988822964112741
32 0.9962334447397738 0.9826326911217894
33 0.9950827159450355 0.9832332821791371
34 0.9952810860650304 0.9624696632377238
35 0.9963432612682644 0.9838227738271461
36 0.9969669926540364 0.9865461510473653
37 0.9963995928025975 0.9916679484966341
38 0.9968567109158308 0.9894836653180954
39 0.997203725107576 0.9869440411642784
40 0.9966401231045293 0.9748944677904487
41 0.9950658268016008 0.9705479097325423
42 0.9970189504599076 0.9851394282503277
43 0.9963928303821622 0.9815712619310738
44 0.9960308432188039 0.9700970132851341
45 0.9978307493647853 0.9927133178804555
46 0.9966577974500596 0.9874518835069023
47 0.9953152287409269 0.9817288754954441
48 0.9965570471233495 0.9708669188089631
49 0.9968525362388503 0.9819405069583584
50 0.9964112963154406 0.9835620508760051
