lambdas  eta MSEtest MSEtrain
0 0.1 nan nan
0 0.01 0.00022987486539719 0.0012069207321088878
0 0.001 0.0015548708791977795 0.007180096942808483
0 0.0001 0.010417953061674711 0.026209843023000296
0 1e-05 0.08710217320492267 0.09194232673343165
0 1e-06 1.1818879671482734 1.0537273125980298
1e-06 0.1 nan nan
1e-06 0.01 0.0003232283302767405 0.0022016378357985803
1e-06 0.001 0.0016193694695052028 0.003337718750228915
1e-06 0.0001 0.010570364281423689 0.02359450954851897
1e-06 1e-05 0.05724309441871989 0.07636402093386321
1e-06 1e-06 0.4565431182673561 0.5972869685429354
1e-05 0.1 nan nan
1e-05 0.01 0.0001865752772083117 0.003915384550925026
1e-05 0.001 0.0013579982329112543 0.01292471151627265
1e-05 0.0001 0.011641348337153317 0.023103199878702747
1e-05 1e-05 0.09736410534697461 0.11088085116718784
1e-05 1e-06 0.5808321839237023 0.5136486980359751
0.0001 0.1 nan nan
0.0001 0.01 0.0002277272366434367 0.0011988168765534916
0.0001 0.001 0.001381138581539545 0.005300430421675606
0.0001 0.0001 0.009758365117533339 0.028613771375069395
0.0001 1e-05 0.11334165599252777 0.11518543739288489
0.0001 1e-06 0.7039165701246548 0.6647318977644582
0.001 0.1 nan nan
0.001 0.01 0.001842283851642081 0.0017900275547719613
0.001 0.001 0.0011318553118445107 0.006317280755859514
0.001 0.0001 0.008989297504501524 0.027649285166868338
0.001 1e-05 0.08783220769505963 0.09929594626650522
0.001 1e-06 0.7002908079673698 0.84230470039322
0.01 0.1 nan nan
0.01 0.01 0.0992126477202567 0.09835240003833298
0.01 0.001 0.011925242002566568 0.00961894751914789
0.01 0.0001 0.008093600607195946 0.01292702541253608
0.01 1e-05 0.07452258720259748 0.0927388679865469
0.01 1e-06 0.7978635957912393 0.8084044504090975
0.1 0.1 nan nan
0.1 0.01 nan nan
0.1 0.001 0.24965226850035738 0.18345825631114024
0.1 0.0001 0.12389940151198825 0.08763250961036882
0.1 1e-05 0.06965467798635532 0.076134228241209
0.1 1e-06 0.6652341880261241 0.6746032626691403
1.0 0.1 nan nan
1.0 0.01 nan nan
1.0 0.001 1.0290599213946132 0.8922733984934547
1.0 0.0001 1.0312809399843827 0.8761237004344202
1.0 1e-05 0.7072578118349984 0.5781989880381647
1.0 1e-06 0.40396284841469987 0.4291981892255628
