lambdas eta R2train  R2test
0 0.1 nan nan
0 0.01 0.9997765987931656 0.9986020603085691
0 0.001 0.9984889168709933 0.9916835114041543
0 0.0001 0.9898754338248315 0.9696419334814124
0 1e-05 0.9153507688704758 0.8935059905395907
0 1e-06 -0.14860403614686613 -0.2205003982752478
1e-06 0.1 nan nan
1e-06 0.01 0.9996858743171328 0.9974499096461448
1e-06 0.001 0.9984262346682701 0.996134021567742
1e-06 0.0001 0.9897273147585377 0.9726711949507358
1e-06 1e-05 0.9443689663331438 0.9115498698293363
1e-06 1e-06 0.5563138953159555 0.3081806134512156
1e-05 0.1 nan nan
1e-05 0.01 0.9998186789929304 0.995464928785017
1e-05 0.001 0.9986802452561001 0.9850296985144001
1e-05 0.0001 0.9886864913951964 0.9732402640452901
1e-05 1e-05 0.9053778298063223 0.8715700718841705
1e-05 1e-06 0.4355250164797839 0.4050562863547793
0.0001 0.1 nan nan
0.0001 0.01 0.9997786859411215 0.9986114467587586
0.0001 0.001 0.9986577565781787 0.9938606721460649
0.0001 0.0001 0.9905164466753663 0.9668575361557973
0.0001 1e-05 0.8898502335625735 0.8665842001694856
0.0001 1e-06 0.31590689132178607 0.23006119679344872
0.001 0.1 nan nan
0.001 0.01 0.99820959792591 0.9979266653550658
0.001 0.001 0.9989000196163637 0.9926828852338153
0.001 0.0001 0.9912638560652169 0.9679746712885462
0.001 1e-05 0.9146412933658551 0.8849885159884638
0.001 1e-06 0.3194305459859542 0.024384003329704917
0.01 0.1 nan nan
0.01 0.01 0.9035813454609715 0.8860813969772237
0.01 0.001 0.9884105926476044 0.9888586647249722
0.01 0.0001 0.9921343286480725 0.9850270183985131
0.01 1e-05 0.9275760928072198 0.8925833809564027
0.01 1e-06 0.22460557016103466 0.06364963506628651
0.1 0.1 nan nan
0.1 0.01 nan nan
0.1 0.001 0.7573783546298197 0.7875058639767407
0.1 0.0001 0.8795898117177487 0.898497921044099
0.1 1e-05 0.9323069136030887 0.9118160317381642
0.1 1e-06 0.35349991319961493 0.21862749411378712
1.0 0.1 nan nan
1.0 0.01 nan nan
1.0 0.001 -7.988236210243471e-05 -0.0334932246812738
1.0 0.0001 -0.0022383533741408 -0.014787519061402632
1.0 1e-05 0.3126597445355278 0.3302896425423406
1.0 1e-06 0.607413417312253 0.502872750259018
