lambda eta MSE
0 0.01 nan
0 0.001 0.02838893413506033
0 0.0001 0.047646702807906526
0 1e-05 0.3518429807965714
0 1e-06 2.3284752707520404
1e-06 0.01 nan
1e-06 0.001 0.028388965711240173
1e-06 0.0001 0.047647153717042395
1e-06 1e-05 0.35184246533688823
1e-06 1e-06 2.3284744012075143
1e-05 0.01 nan
1e-05 0.001 0.02838926695736981
1e-05 0.0001 0.04765121245188651
1e-05 1e-05 0.3518378263548702
1e-05 1e-06 2.3284665753272273
0.0001 0.01 nan
0.0001 0.001 0.028393950837619798
0.0001 0.0001 0.047691854398866515
0.0001 1e-05 0.35179145188854066
0.0001 1e-06 2.328388318542399
0.001 0.01 nan
0.001 0.001 0.028591667405942385
0.001 0.0001 0.048103624234149385
0.001 1e-05 0.3513292397841773
0.001 1e-06 2.327605952461555
0.01 0.01 nan
0.01 0.001 0.03695663883194317
0.01 0.0001 0.05265930848497589
0.01 1e-05 0.34685758729728977
0.01 1e-06 2.3198024320357997
0.1 0.01 inf
0.1 0.001 0.10389111596828746
0.1 0.0001 0.10429671840726631
0.1 1e-05 0.31475330792658485
0.1 1e-06 2.2437454024756915
1.0 0.01 1.6892400295428427
1.0 0.001 0.32940738296077876
1.0 0.0001 0.3320222280536086
1.0 1e-05 0.3461619243386257
1.0 1e-06 1.6496213890860498
