lambda   eta  MSEtrain
0 0.008 0.06995414926426069
0 0.006 0.03892163645275194
0 0.004 0.0317340315939487
0 0.002 0.029790062518059122
0 0.001 0.02838893413506033
0 0.0001 0.047646702807906526
1e-06 0.008 0.06995483651700095
1e-06 0.006 0.03892163469018763
1e-06 0.004 0.031733822224694674
1e-06 0.002 0.029789971516677977
1e-06 0.001 0.028388965711240173
1e-06 0.0001 0.047647153717042395
1e-05 0.008 0.06996103675240668
1e-05 0.006 0.03892163931941944
1e-05 0.004 0.03173195924019251
1e-05 0.002 0.02978917253252064
1e-05 0.001 0.02838926695736981
1e-05 0.0001 0.04765121245188651
0.0001 0.008 0.07002449568590037
0.0001 0.006 0.03892368838327896
0.0001 0.004 0.03171541702538048
0.0001 0.002 0.02978314215902325
0.0001 0.001 0.028393950837619798
0.0001 0.0001 0.047691854398866515
0.001 0.008 0.07078281638996693
0.001 0.006 0.03912093037722445
0.001 0.004 0.03173608504222246
0.001 0.002 0.0298975203952907
0.001 0.001 0.028591667405942385
0.001 0.0001 0.048103624234149385
0.01 0.008 0.08143805130662206
0.01 0.006 0.047638352890393636
0.01 0.004 0.03944526967828077
0.01 0.002 0.03803759116217733
0.01 0.001 0.03695663883194317
0.01 0.0001 0.05265930848497589
0.1 0.008 0.1561285239479822
0.1 0.006 0.11330814898880884
0.1 0.004 0.10598153489382763
0.1 0.002 0.10443194976348938
0.1 0.001 0.10389111596828746
0.1 0.0001 0.10429671840726631
1.0 0.008 0.43889444391499444
1.0 0.006 0.36256509006670457
1.0 0.004 0.33400836893795166
1.0 0.002 0.32944028177731904
1.0 0.001 0.32940738296077876
1.0 0.0001 0.3320222280536086
