lambda eta R2
0 0.01 nan
0 0.001 0.9716005220359435
0 0.0001 0.9523387309834469
0 1e-05 0.6480292206661646
0 1e-06 -1.3289534327701078
1e-06 0.01 nan
1e-06 0.001 0.9716004904238911
1e-06 0.0001 0.9523382798916747
1e-06 1e-05 0.6480297364252796
1e-06 1e-06 -1.3289525630283354
1e-05 0.01 nan
1e-05 0.001 0.9716001888489935
1e-05 0.0001 0.9523342195130766
1e-05 1e-05 0.648034378102118
1e-05 1e-06 -1.3289447353728392
0.0001 0.01 nan
0.0001 0.001 0.9715955011022362
0.0001 0.0001 0.9522935611257658
0.0001 1e-05 0.6480807795099217
0.0001 1e-06 -1.328866460836386
0.001 0.01 nan
0.001 0.001 0.9713976942895677
0.001 0.0001 0.9518816266298034
0.001 1e-05 0.6485432603573351
0.001 1e-06 -1.3280839172864407
0.01 0.01 nan
0.01 0.001 0.9630299309477532
0.01 0.0001 0.9473242882245942
0.01 1e-05 0.6530175342490312
0.01 1e-06 -1.320278626875383
0.1 0.01 -inf
0.1 0.001 0.8960814656183598
0.1 0.0001 0.8956739468484857
0.1 1e-05 0.6851424281329533
0.1 1e-06 -1.2442043594513987
1.0 0.01 -0.7095302259827985
1.0 0.001 0.6705216275099118
1.0 0.0001 0.6679071348190851
1.0 1e-05 0.6537659418350806
1.0 1e-06 -0.6499466742878113
