lambda   eta  R2train
0 0.008 0.9300702727246069
0 0.006 0.9610735914412499
0 0.004 0.9682615565686316
0 0.002 0.970200990706035
0 0.001 0.9716005220359435
0 0.0001 0.9523387309834469
1e-06 0.008 0.9300695971835925
1e-06 0.006 0.9610735976808072
1e-06 0.004 0.968261766814041
1e-06 0.002 0.9702010817272315
1e-06 0.001 0.9716004904238911
1e-06 0.0001 0.9523382798916747
1e-05 0.008 0.9300635022728814
1e-05 0.006 0.961073633310104
1e-05 0.004 0.968263637661243
1e-05 0.002 0.970201880879808
1e-05 0.001 0.9716001888489935
1e-05 0.0001 0.9523342195130766
0.0001 0.008 0.9300010885909729
0.0001 0.006 0.9610719834434827
0.0001 0.004 0.9682802562799531
0.0001 0.002 0.9702079119681141
0.0001 0.001 0.9715955011022362
0.0001 0.0001 0.9522935611257658
0.001 0.008 0.9292524312650636
0.001 0.006 0.96087841209468
0.001 0.004 0.9682601521292655
0.001 0.002 0.970093455251904
0.001 0.001 0.9713976942895677
0.001 0.0001 0.9518816266298034
0.01 0.008 0.9186330923804558
0.01 0.006 0.9523773423888506
0.01 0.004 0.9605479339248747
0.01 0.002 0.9619495635873179
0.01 0.001 0.9630299309477532
0.01 0.0001 0.9473242882245942
0.1 0.008 0.8434185549951533
0.1 0.006 0.8866264840361902
0.1 0.004 0.893976080821691
0.1 0.002 0.8955377493744645
0.1 0.001 0.8960814656183598
0.1 0.0001 0.8956739468484857
1.0 0.008 0.56028931130855
1.0 0.006 0.6371738691096489
1.0 0.004 0.6658696097760124
1.0 0.002 0.6704882911330805
1.0 0.001 0.6705216275099118
1.0 0.0001 0.6679071348190851
