Z   N   E_bind_add(MeV)   E_bind(MeV)
20   33  1.675   441.521
20   34  0.840   445.365
21   35  -0.226   460.417
21   36  -0.117   464.632
24   40  -0.192   531.268
25   37  0.001   529.387
27   25  0.141   432.946
29   27  0.460   467.949
30   52  -0.498   680.692
32   54  -0.469   718.498
34   57  0.297   758.470
37   63  0.212   824.432
39   66  0.895   868.247
40   42  -0.313   694.185
40   66  -0.671   882.816
40   67  -0.196   886.717
41   43  0.018   707.133
41   69  -0.583   908.079
43   71  -0.290   945.090
43   72  0.441   950.881
45   76  0.175   997.674
46   77  0.018   1017.214
48   81  -0.560   1066.705
48   83  -0.253   1075.009
51   87  -0.208   1128.163
53   88  0.034   1156.518
56   93  -0.074   1211.935
57   93  -0.677   1222.234
57   94  -0.581   1227.485
63   74  -0.152   1116.629
81   109  -0.225   1494.552
82   133  0.257   1666.838
83   111  0.247   1516.930
85   113  0.225   1538.336
87   110  0.394   1511.731
87   111  0.016   1520.483
87   115  -0.215   1559.246
87   145  0.144   1758.409
87   146  0.426   1763.633
88   113  0.167   1541.551
89   116  -0.473   1570.884
89   117  -0.649   1579.583
92   123  -0.215   1638.434
92   124  0.005   1648.362
92   129  0.978   1687.265
92   130  0.713   1695.584
