lambda   depth  MSEtrain
0.0 1.0 0.5101779813420456
1e-06 1.0 0.5101779813420456
1e-05 1.0 0.5101779813420456
0.0001 1.0 0.5101779813420456
0.001 1.0 0.5101779813420456
0.01 1.0 0.5101779813420456
0.1 1.0 0.5101779813420456
0.0 2.0 0.2600634854237293
1e-06 2.0 0.2600634854237293
1e-05 2.0 0.2600634854237293
0.0001 2.0 0.2600634854237293
0.001 2.0 0.2600634854237293
0.01 2.0 0.2600634854237293
0.1 2.0 0.2600634854237293
0.0 3.0 0.14010563239746107
1e-06 3.0 0.14010563239746107
1e-05 3.0 0.14010563239746107
0.0001 3.0 0.14010563239746107
0.001 3.0 0.14010563239746107
0.01 3.0 0.14010563239746107
0.1 3.0 0.2600634854237293
0.0 4.0 0.08523911674069436
1e-06 4.0 0.08523911674069436
1e-05 4.0 0.08523911674069436
0.0001 4.0 0.08523911674069436
0.001 4.0 0.08523911674069436
0.01 4.0 0.10289798965434362
0.1 4.0 0.2600634854237293
0.0 5.0 0.05264246627226176
1e-06 5.0 0.05264246627226176
1e-05 5.0 0.05264246627226176
0.0001 5.0 0.05264246627226176
0.001 5.0 0.05584119761026
0.01 5.0 0.1028979896543436
0.1 5.0 0.2600634854237293
0.0 6.0 0.03443447097480208
1e-06 6.0 0.03443447097480208
1e-05 6.0 0.03443447097480208
0.0001 6.0 0.03493506012867147
0.001 6.0 0.042463120955063036
0.01 6.0 0.1028979896543436
0.1 6.0 0.2600634854237293
0.0 7.0 0.022587862980370847
1e-06 7.0 0.022587862980370847
1e-05 7.0 0.022603698464972694
0.0001 7.0 0.023578839008365094
0.001 7.0 0.03848261168242653
0.01 7.0 0.1028979896543436
0.1 7.0 0.2600634854237293
0.0 8.0 0.014406534474471462
1e-06 8.0 0.014408744066184906
1e-05 8.0 0.014526028848056162
0.0001 8.0 0.016298296604565297
0.001 8.0 0.03520572858357533
0.01 8.0 0.1028979896543436
0.1 8.0 0.2600634854237293
0.0 9.0 0.010731189659758382
1e-06 9.0 0.010746216044710764
1e-05 9.0 0.011007880317439924
0.0001 9.0 0.013638753591300953
0.001 9.0 0.035205728583575326
0.01 9.0 0.1028979896543436
0.1 9.0 0.2600634854237293
0.0 10.0 0.008034532411499361
1e-06 10.0 0.008075232937743582
1e-05 10.0 0.008465400148644556
0.0001 10.0 0.012321695683988455
0.001 10.0 0.03520572858357533
0.01 10.0 0.1028979896543436
0.1 10.0 0.2600634854237293
