lambda   depth  R2train
0.0 1.0 0.5296596008871834
1e-06 1.0 0.5296596008871834
1e-05 1.0 0.5296596008871834
0.0001 1.0 0.5296596008871834
0.001 1.0 0.5296596008871834
0.01 1.0 0.5296596008871834
0.1 1.0 0.5296596008871834
0.0 2.0 0.734538691377248
1e-06 2.0 0.734538691377248
1e-05 2.0 0.734538691377248
0.0001 2.0 0.734538691377248
0.001 2.0 0.734538691377248
0.01 2.0 0.734538691377248
0.1 2.0 0.6502507865178895
0.0 3.0 0.864826984641394
1e-06 3.0 0.864826984641394
1e-05 3.0 0.864826984641394
0.0001 3.0 0.864826984641394
0.001 3.0 0.864826984641394
0.01 3.0 0.8625108810078901
0.1 3.0 0.753708857944631
0.0 4.0 0.9124679706368608
1e-06 4.0 0.9124679706368609
1e-05 4.0 0.9124679706368609
0.0001 4.0 0.9124679706368609
0.001 4.0 0.9124679706368609
0.01 4.0 0.8945813703533847
0.1 4.0 0.753708857944631
0.0 5.0 0.939687400324038
1e-06 5.0 0.939687400324038
1e-05 5.0 0.939687400324038
0.0001 5.0 0.9396365256263357
0.001 5.0 0.9369186943639708
0.01 5.0 0.8945813703533847
0.1 5.0 0.753708857944631
0.0 6.0 0.9601962820899801
1e-06 6.0 0.9601962820899801
1e-05 6.0 0.9601962820899801
0.0001 6.0 0.959635912991521
0.001 6.0 0.9542690127835005
0.01 6.0 0.8945813703533847
0.1 6.0 0.753708857944631
0.0 7.0 0.9722741521138141
1e-06 7.0 0.9722741521138141
1e-05 7.0 0.9722215293345986
0.0001 7.0 0.9710916805971402
0.001 7.0 0.9628730629587202
0.01 7.0 0.8945813703533847
0.1 7.0 0.753708857944631
0.0 8.0 0.9810155337707183
1e-06 8.0 0.981009546246613
1e-05 8.0 0.9808932443376165
0.0001 8.0 0.9792378234790596
0.001 8.0 0.9668607967342726
0.01 8.0 0.8945813703533847
0.1 8.0 0.753708857944631
0.0 9.0 0.9874649229887191
1e-06 9.0 0.9874464775369807
1e-05 9.0 0.9872282577091535
0.0001 9.0 0.9849099715261808
0.001 9.0 0.9668607967342726
0.01 9.0 0.8945813703533847
0.1 9.0 0.753708857944631
0.0 10.0 0.9913946768348065
1e-06 10.0 0.9913523342376737
1e-05 10.0 0.9910285609714892
0.0001 10.0 0.9878630967546058
0.001 10.0 0.9668607967342726
0.01 10.0 0.8945813703533847
0.1 10.0 0.753708857944631
