poly_degree   lambda  MSEtrain  MSEtest
18 0 0.00863672544343116 0.047118014403623114
18 1e-06 0.020892582261768957 0.07705046229603371
18 1e-05 0.020804740356932905 0.0769917945509723
18 0.0001 0.01988506321896698 0.07637230592887298
18 0.001 0.016625181226525853 0.06325659349708665
18 0.01 0.024137650091700096 0.07331102984709324
18 0.1 0.07216308860005133 0.11693268695540894
18 1.0 0.22795852872459083 0.2582936421223072
19 0 0.009013805183925578 0.04574521719480165
19 1e-06 0.02089372245200683 0.076002049641628
19 1e-05 0.02081871210350592 0.07596842872070655
19 0.0001 0.01996263576883086 0.07553506361221865
19 0.001 0.016781027518463696 0.062218293345269106
19 0.01 0.0236236793463566 0.07080038424983733
19 0.1 0.07140697244747818 0.11321269428998663
19 1.0 0.22463278899796965 0.2558729206231139
20 0 0.0101885979379479 0.04795079584167081
20 1e-06 0.020892662410544424 0.07480550357853212
20 1e-05 0.020821103659566395 0.07475308444787401
20 0.0001 0.02003637119247974 0.07418922971667608
20 0.001 0.01635721175215816 0.06060524029916571
20 0.01 0.02293058997223767 0.06853302166499327
20 0.1 0.07222574190075658 0.11273587317056014
20 1.0 0.22472823328490635 0.2546157493003348
21 0 0.013191446243875225 0.05131356917115903
21 1e-06 0.02089695571051816 0.07380313703611056
21 1e-05 0.020824656478322618 0.07375714191225384
21 0.0001 0.020090311421482623 0.07328886672042186
21 0.001 0.016568250053993632 0.060666602253230846
21 0.01 0.022318264982871955 0.06632490971154942
21 0.1 0.07123129033715739 0.10788713455950867
21 1.0 0.22497104905353124 0.2549256548556377
22 0 0.014494584667227797 0.053902954372841934
22 1e-06 0.020897785514941834 0.07270859872812657
22 1e-05 0.02082765947906639 0.0726519820373299
22 0.0001 0.02013200159433395 0.07210575729225814
22 0.001 0.016249349555812462 0.059286135538115556
22 0.01 0.021667188180669306 0.06428154817052925
22 0.1 0.07007322458318045 0.10486819394759393
22 1.0 0.22481526936871926 0.2531812064699488
23 0 0.015979165696721885 0.055259300574838965
23 1e-06 0.020892464520696367 0.07174985799462817
23 1e-05 0.0208351113313929 0.07170470472184219
23 0.0001 0.020162738754516976 0.07119271357628358
23 0.001 0.016502468964394133 0.05973203030677469
23 0.01 0.02097729923983688 0.062102157729085325
23 0.1 0.06953526196303006 0.10248547863793514
23 1.0 0.2224290067677836 0.2486720089776059
