poly_degree   lambda  R2train  R2test
18 0 0.9917367575330513 0.9423558852576195
18 1e-06 0.9800108879087995 0.9057365692132284
18 1e-05 0.9800949312146998 0.9058083432527503
18 0.0001 0.9809748382155762 0.9065662247905416
18 0.001 0.9840937512218555 0.9226119695426341
18 0.01 0.9769061484475249 0.9103113857857521
18 0.1 0.9309575021028769 0.8569447098035151
18 1.0 0.7818992154378541 0.6840039094987675
19 0 0.9913759840726133 0.9440353634959308
19 1e-06 0.9800097970244759 0.9070191958288202
19 1e-05 0.9800815636565465 0.9070603276177521
19 0.0001 0.9809006201809167 0.9075905059021134
19 0.001 0.9839446442823919 0.9238822245363123
19 0.01 0.9773978932549184 0.9133829061950363
19 0.1 0.931680921081842 0.8614957437713202
19 1.0 0.7850811382537446 0.6869654168887759
20 0 0.9902519935696752 0.9413370615788683
20 1e-06 0.9800108112259446 0.9084830486551468
20 1e-05 0.9800792755199453 0.9085471781483057
20 0.0001 0.9808300733413762 0.9092369972596286
20 0.001 0.9843501327353057 0.925855631439214
20 0.01 0.9780610109593219 0.916156794497793
20 0.1 0.9308975581555472 0.8620790860803649
20 1.0 0.7849898213200052 0.6885034385753506
21 0 0.9873789991916709 0.937223049260838
21 1e-06 0.9800067035836559 0.9097093425199585
21 1e-05 0.9800758763378113 0.9097656128919329
21 0.0001 0.9807784656812863 0.9103385001247807
21 0.001 0.9841482204863519 0.9257805613080611
21 0.01 0.9786468568205619 0.9188581956586735
21 0.1 0.9318490060677772 0.8680110263029939
21 1.0 0.7847575057758689 0.6881243005404548
22 0 0.9861322131463476 0.9340551989265813
22 1e-06 0.980005909662951 0.9110483991974087
22 1e-05 0.9800730031975874 0.9111176639799323
22 0.0001 0.9807385783409956 0.9117859145902047
22 0.001 0.9844533305835249 0.9274694224099419
22 0.01 0.9792697787273013 0.9213580413890505
22 0.1 0.9329569929061292 0.8717043941419463
22 1.0 0.7849065489885376 0.6902584563231118
23 0 0.9847118307237626 0.9323958468276461
23 1e-06 0.980011000558326 0.9122213213069135
23 1e-05 0.9800658735900752 0.9122765617594328
23 0.0001 0.9807091703658317 0.9129029310306174
23 0.001 0.9842111569657689 0.9269239153563672
23 0.01 0.9799298343966291 0.9240243046912108
23 0.1 0.9334716920936365 0.8746194048113654
23 1.0 0.7871896210382969 0.6957750024028779
