eta   lambda  MSEtrain  MSEtest
0.0005 0 nan nan
0.0005 1e-06 nan nan
0.0005 1e-05 0.03297677478878693 0.04833988029422738
0.0005 0.0001 0.020347179152148037 0.04049922648634174
0.0005 0.001 0.060349650250785536 0.08586811171972666
0.0005 0.01 nan nan
0.0005 0.1 nan nan
0.0005 1.0 nan nan
0.0004 0 0.022218481802180858 0.02985836631804793
0.0004 1e-06 0.02432841099116792 0.05640938717242284
0.0004 1e-05 0.020694515869356223 0.04671499915315748
0.0004 0.0001 0.12716708183981956 0.21005376333298306
0.0004 0.001 0.0235869628665834 0.033981459851308356
0.0004 0.01 0.02448605586905713 0.05386430126030783
0.0004 0.1 0.10499843000800992 0.10144091412583288
0.0004 1.0 0.28418583942290926 0.3584793542952536
0.0003 0 0.022517379864899895 0.03390712997914602
0.0003 1e-06 0.021778014483209804 0.039172519216770826
0.0003 1e-05 0.021527268786899863 0.03738185755897574
0.0003 0.0001 0.030669072745383354 0.06677302680624808
0.0003 0.001 0.025627534932118425 0.029444827634717955
0.0003 0.01 0.025214863295767744 0.041762249791598476
0.0003 0.1 0.11391064588298658 0.1724063484225171
0.0003 1.0 0.28565933476720856 0.36105365428674313
0.0002 0 0.022932308800685874 0.039960384942516684
0.0002 1e-06 0.07061229656106913 0.12423521037045995
0.0002 1e-05 0.021733955463527573 0.028640096537912916
0.0002 0.0001 0.027998017944023054 0.06571957169512936
0.0002 0.001 0.027404360885971056 0.03778195875712288
0.0002 0.01 0.025194290639787516 0.04419930130779082
0.0002 0.1 0.045074102200864795 0.08438165488971673
0.0002 1.0 0.299474775655458 0.3765913740583771
0.0001 0 0.029438589352345286 0.05679574351957225
0.0001 1e-06 0.033654634781369326 0.03781471613589503
0.0001 1e-05 0.026879311681898648 0.05242492867038186
0.0001 0.0001 0.028855333128868586 0.04837363044066043
0.0001 0.001 0.07979257030444595 0.1346256397942969
0.0001 0.01 0.056332388053537664 0.10121361035577167
0.0001 0.1 0.041517336363882926 0.07074927168126252
0.0001 1.0 0.27894501727683574 0.3531277394083797
1e-05 0 0.16872291910431694 0.21924719633483392
1e-05 1e-06 0.1298822431293192 0.19779457625684627
1e-05 1e-05 0.12183683229441553 0.18692858371770685
1e-05 0.0001 0.16070983595570298 0.19300735125977692
1e-05 0.001 0.12296265547613945 0.16531868793730467
1e-05 0.01 0.13105694848499766 0.16845274103448485
1e-05 0.1 0.1456439288832895 0.19537810666923364
1e-05 1.0 0.20390319859105702 0.27641098355963667
1e-06 0 0.3350335145135758 0.39822234154517344
1e-06 1e-06 0.4088272945538422 0.5007018641441734
1e-06 1e-05 0.2362901730861287 0.30884651159914955
1e-06 0.0001 0.5079086007769166 0.587435381675973
1e-06 0.001 0.418494476173377 0.5016084023652897
1e-06 0.01 0.3076536526421727 0.3815111973015962
1e-06 0.1 0.39934625085212644 0.47985920647037217
1e-06 1.0 0.48304000370010347 0.5707724315036089
