eta   lambda  R2train  R2test
0.0005 0 nan nan
0.0005 1e-06 nan nan
0.0005 1e-05 0.966724579588182 0.9532780468977706
0.0005 0.0001 0.9794685518878418 0.9608562754178482
0.0005 0.001 0.939103808766528 0.9170058787004232
0.0005 0.01 nan nan
0.0005 0.1 nan nan
0.0005 1.0 nan nan
0.0004 0 0.977580302269848 0.9711409878897114
0.0004 1e-06 0.9754512650534318 0.9454786249789254
0.0004 1e-05 0.9791180696055813 0.9548485435561754
0.0004 0.0001 0.8716812624076596 0.7969766987494507
0.0004 0.001 0.9761994279109918 0.9671558935633576
0.0004 0.01 0.9752921925055208 0.9479385273184265
0.0004 0.1 0.894050678895214 0.9019542952198736
0.0004 1.0 0.7132405050994195 0.6535188859062926
0.0003 0 0.9772786973142101 0.9672277356279255
0.0003 1e-06 0.9780247585670543 0.962138578031177
0.0003 1e-05 0.9782777750768437 0.9638693065619104
0.0003 0.0001 0.9690531807376666 0.9354618545195695
0.0003 0.001 0.9741403759328595 0.9715406855068938
0.0003 0.01 0.9745567848230419 0.9596355252778797
0.0003 0.1 0.8850577518445808 0.8333640613817281
0.0003 1.0 0.7117536654260295 0.6510307472774552
0.0002 0 0.9768600106819443 0.961377082031081
0.0002 1e-06 0.9287482214569843 0.8799229200146076
0.0002 1e-05 0.9780692165958412 0.9723184823970802
0.0002 0.0001 0.9717484252552867 0.9364800506755679
0.0002 0.001 0.9723474586147842 0.9634825966796721
0.0002 0.01 0.9745775437899546 0.9572800414422932
0.0002 0.1 0.9545176958624519 0.9184425840848294
0.0002 1.0 0.6978131085742587 0.6360130722218437
0.0001 0 0.9702948076849757 0.9451051999099674
0.0001 1e-06 0.9660405807320779 0.9634509356845388
0.0001 1e-05 0.9728772627910356 0.9493297243638849
0.0001 0.0001 0.9708833460174325 0.9532454263627334
0.0001 0.001 0.9194848089412667 0.8698802564147449
0.0001 0.01 0.9431574522587782 0.9021739911731971
0.0001 0.1 0.9581066726283729 0.9316186938530011
0.0001 1.0 0.7185287893943851 0.6586913831951529
1e-05 0 0.8297490854619792 0.7880909683143198
1e-05 1e-06 0.8689415119629091 0.8088255730155107
1e-05 1e-05 0.8770597839780441 0.8193278827178264
1e-05 0.0001 0.8378347370235034 0.8134525704437525
1e-05 0.001 0.8759237650701558 0.8402144991316571
1e-05 0.01 0.8677561681923138 0.8371853422339757
1e-05 0.1 0.8530370845826833 0.8111611637960052
1e-05 1.0 0.7942502048824087 0.7328404428763824
1e-06 0 0.6619323412039986 0.6151060893678826
1e-06 1e-06 0.5874702669003573 0.5160565381553793
1e-06 1e-05 0.7615699261379636 0.7014905261888736
1e-06 0.0001 0.48749165648009385 0.4322259760222731
1e-06 0.001 0.5777155369533644 0.5151803416072174
1e-06 0.01 0.6895601617056638 0.6312579145871569
1e-06 0.1 0.5970371732196704 0.536201595785517
1e-06 1.0 0.5125854695677355 0.44833122021732263
