eta   lambda  R2train  R2test
0.0005 0 nan nan
0.0005 1e-06 nan nan
0.0005 1e-05 0.9667245795881819 0.9532780468977705
0.0005 0.0001 0.9794685518878418 0.9608562754178481
0.0005 0.001 0.939103808766529 0.9170058787004244
0.0005 0.01 nan nan
0.0005 0.1 nan nan
0.0005 1.0 nan nan
0.0004 0 0.977580302269848 0.971140987889711
0.0004 1e-06 0.9754512650534316 0.945478624978925
0.0004 1e-05 0.9791180696055813 0.9548485435561751
0.0004 0.0001 0.871681262407659 0.79697669874945
0.0004 0.001 0.976199427910992 0.9671558935633583
0.0004 0.01 0.9752921925055208 0.9479385273184262
0.0004 0.1 0.8940506788952143 0.9019542952198739
0.0004 1.0 0.7132405050994195 0.6535188859062926
0.0003 0 0.9772786973142101 0.9672277356279254
0.0003 1e-06 0.9780247585670543 0.9621385780311766
0.0003 1e-05 0.9782777750768437 0.9638693065619102
0.0003 0.0001 0.9690531807376666 0.9354618545195696
0.0003 0.001 0.9741403759328593 0.9715406855068938
0.0003 0.01 0.9745567848230419 0.9596355252778798
0.0003 0.1 0.8850577518445809 0.8333640613817281
0.0003 1.0 0.7117536654260295 0.6510307472774552
0.0002 0 0.9768600106819443 0.9613770820310811
0.0002 1e-06 0.9287482214569842 0.8799229200146074
0.0002 1e-05 0.9780692165958412 0.9723184823970802
0.0002 0.0001 0.9717484252552866 0.9364800506755677
0.0002 0.001 0.9723474586147842 0.9634825966796723
0.0002 0.01 0.9745775437899546 0.957280041442293
0.0002 0.1 0.954517695862452 0.9184425840848295
0.0002 1.0 0.6978131085742587 0.6360130722218437
0.0001 0 0.9702948076849757 0.9451051999099676
0.0001 1e-06 0.9660405807320779 0.9634509356845389
0.0001 1e-05 0.9728772627910356 0.949329724363885
0.0001 0.0001 0.9708833460174324 0.9532454263627331
0.0001 0.001 0.9194848089412669 0.8698802564147452
0.0001 0.01 0.943157452258778 0.9021739911731969
0.0001 0.1 0.9581066726283729 0.9316186938530011
0.0001 1.0 0.7185287893943851 0.6586913831951529
1e-05 0 0.8297490854619791 0.7880909683143199
1e-05 1e-06 0.8689415119629091 0.8088255730155107
1e-05 1e-05 0.8770597839780441 0.8193278827178264
1e-05 0.0001 0.8378347370235033 0.8134525704437522
1e-05 0.001 0.8759237650701559 0.8402144991316571
1e-05 0.01 0.8677561681923138 0.8371853422339757
1e-05 0.1 0.8530370845826832 0.8111611637960051
1e-05 1.0 0.7942502048824087 0.7328404428763824
1e-06 0 0.6619323412039986 0.6151060893678826
1e-06 1e-06 0.5874702669003573 0.5160565381553794
1e-06 1e-05 0.7615699261379637 0.7014905261888738
1e-06 0.0001 0.48749165648009407 0.4322259760222733
1e-06 0.001 0.5777155369533644 0.5151803416072173
1e-06 0.01 0.6895601617056639 0.6312579145871569
1e-06 0.1 0.5970371732196704 0.5362015957855171
1e-06 1.0 0.5125854695677354 0.4483312202173225
