poly_degree   lambda  MSEtrain  MSEtest
14 0 0.0096618028126536 0.05457852263882848
14 1e-06 0.009661771865493154 0.05438833581987779
14 1e-05 0.009661091322410942 0.05455940287478278
14 0.0001 0.009654754900370361 0.054273436408940855
14 0.001 0.009673601757278615 0.05472502469903075
14 0.01 0.00980726106876096 0.05575577113590822
14 0.1 0.010487623560845502 0.05797202155583995
14 1.0 0.013085556693320153 0.06252456787262739
15 0 0.009201129657705105 0.05153768981314467
15 1e-06 0.009200969665593887 0.05123562525462139
15 1e-05 0.009200242544706356 0.05135416189329515
15 0.0001 0.009201553077472618 0.05123085904435114
15 0.001 0.009602672447737133 0.05649377881814362
15 0.01 0.009295226652803796 0.0525494662560024
15 0.1 0.009766638268985774 0.05428905017039755
15 1.0 0.012262983330968669 0.05863912296830775
16 0 0.008955257849938432 0.04933876022436599
16 1e-06 0.008955542087686725 0.04894693867764617
16 1e-05 0.008954964842321451 0.04927115244303961
16 0.0001 0.008953961423164713 0.049222909265934145
16 0.001 0.008937771295736552 0.049311856000342914
16 0.01 0.009347572817876295 0.053806006962965704
16 0.1 0.009314005925631008 0.05117616057732335
16 1.0 0.011554716306775101 0.05500788222521633
17 0 0.008736695035180951 0.04795468697500667
17 1e-06 0.008734488776961901 0.047936943947021776
17 1e-05 0.008737088959137662 0.04781646772026684
17 0.0001 0.008735324920711612 0.04784116850913192
17 0.001 0.00873343564240397 0.0480279406272058
17 0.01 0.008623913865869508 0.047967448460454316
17 0.1 0.00901486678875109 0.04795887275673741
17 1.0 0.01110200515065065 0.052192432417488666
18 0 0.00863672544343116 0.047118014403623114
18 1e-06 0.00864058040403255 0.047563476661051506
18 1e-05 0.00864029844122371 0.04753888762014201
18 0.0001 0.008635914716579719 0.04719104087220959
18 0.001 0.008637819193246526 0.0471107185473662
18 0.01 0.008577260780997778 0.04694617209705649
18 0.1 0.008865323768279471 0.04440097854411347
18 1.0 0.010683196762404866 0.04974819806555746
19 0 0.009013805183925578 0.04574521719480165
19 1e-06 0.009010428074358444 0.045582251411896035
19 1e-05 0.009013141157385862 0.04551737404989334
19 0.0001 0.009004748467446335 0.04547064649002014
19 0.001 0.00901696244642488 0.045626259238921316
19 0.01 0.00896723016132237 0.045581859923729824
19 0.1 0.00871824502315768 0.04612903842133608
19 1.0 0.010533305487040462 0.04628319649874171
