poly_degree   lambda  R2train  R2test
14 0 0.9907560081848468 0.9332287096287248
14 1e-06 0.990756037793741 0.933461383924381
14 1e-05 0.9907566889077002 0.9332521007220561
14 0.0001 0.9907627513201315 0.9336019517074617
14 0.001 0.9907447194688942 0.9330494792075116
14 0.01 0.9906168400652964 0.9317884654184183
14 0.1 0.9899658988869141 0.9290771076687043
14 1.0 0.9874803096983767 0.9235075286960659
15 0 0.9911967601807607 0.9369488603722298
15 1e-06 0.9911969132542394 0.9373184057423289
15 1e-05 0.9911976089318125 0.9371733881797815
15 0.0001 0.9911963550711822 0.9373242367174917
15 0.001 0.9908125815407632 0.9308855878236386
15 0.01 0.9911067322771294 0.9357110544480216
15 0.1 0.99065570618955 0.9335828498529298
15 1.0 0.9882673120390768 0.9282609767079282
16 0 0.9914319996099484 0.9396390278406668
16 1e-06 0.9914317276636595 0.9401183817880588
16 1e-05 0.9914322799468653 0.9397217391083971
16 0.0001 0.9914332399745799 0.9397807597456587
16 0.001 0.9914487299828458 0.9396719424317477
16 0.01 0.9910566497479298 0.9341738042559784
16 0.1 0.9910887650873952 0.9373911547476652
16 1.0 0.9889449510575438 0.9327034316946534
17 0 0.9916411109849051 0.941332301171637
17 1e-06 0.9916432218366079 0.9413540079679439
17 1e-05 0.9916407340956328 0.941501398419912
17 0.0001 0.991642421850712 0.9414711795084068
17 0.001 0.9916442294298514 0.9412426827531593
17 0.01 0.9917490150920613 0.9413166887876956
17 0.1 0.991374968375387 0.9413271802919603
17 1.0 0.9893780853600118 0.9361478491605046
18 0 0.9917367575330513 0.9423558852576195
18 1e-06 0.9917330692747689 0.9418109073376961
18 1e-05 0.9917333390444948 0.9418409895369045
18 0.0001 0.9917375332011668 0.9422665447752644
18 0.001 0.9917357110808998 0.942364810998242
18 0.01 0.9917936507302614 0.9425661169017729
18 0.1 0.9915180446194439 0.9456799032330605
18 1.0 0.989778782971848 0.9391381221425756
19 0 0.9913759840726133 0.9440353634959308
19 1e-06 0.9913792151438536 0.9442347356131091
19 1e-05 0.9913766193842645 0.944314106489552
19 0.0001 0.9913846491441978 0.9443712729227529
19 0.001 0.9913729633414653 0.9441808964973757
19 0.01 0.9914205450242373 0.9442352145591992
19 0.1 0.9916587631522532 0.9435657971293733
19 1.0 0.9899221924110073 0.9433772003471254
