poly_degree   lambda  R2train  R2test
1 0 0.030277168115970254 0.03268411410236405
1 1e-06 0.030277168115970143 0.0326841142142037
1 1e-05 0.030277168115969255 0.03268411522075687
1 0.0001 0.0302771681158569 0.03268412528614362
1 0.001 0.03027716810463943 0.0326842259253467
1 0.01 0.03027716698329208 0.03268523085154873
1 0.1 0.030277055258180918 0.03269513407930669
1 1.0 0.030266280410629842 0.03278009574162777
2 0 0.49018503392914303 0.5060286333844695
2 1e-06 0.4901850339291066 0.5060286464225678
2 1e-05 0.49018503392550117 0.5060287637599323
2 0.0001 0.4901850335650324 0.5060299365835474
2 0.001 0.4901849975908842 0.5060416099343031
2 0.01 0.49018147174265325 0.5061529614589673
2 0.1 0.48989013527970016 0.5068199546217862
2 1.0 0.48202507559914953 0.5017472907921612
3 0 0.7058204935413073 0.7020277481704154
3 1e-06 0.7058204935361527 0.7020276442833994
3 1e-05 0.7058204930263956 0.7020267092402799
3 0.0001 0.705820442568593 0.7020173531785683
3 0.001 0.70581587381116 0.7019235335567122
3 0.01 0.7056078447243972 0.7010853148430268
3 0.1 0.7041832698883224 0.6980104076715667
3 1.0 0.694359463286564 0.6852594257112157
4 0 0.8228011582946039 0.7964092443957738
4 1e-06 0.8228011582900092 0.7964090851387067
4 1e-05 0.822801157857371 0.796407688291811
4 0.0001 0.8228011297803454 0.7963964911168613
4 0.001 0.8228006290783606 0.7963553989974606
4 0.01 0.8227817592283454 0.7961980112878082
4 0.1 0.8221981337208591 0.7945886727917655
4 1.0 0.8181396809735404 0.7851848855670118
5 0 0.8888834146574214 0.8515136383001686
5 1e-06 0.8888827004979934 0.851541831328172
5 1e-05 0.8888692903744242 0.8516303204078641
5 0.0001 0.8888447827482985 0.8516927922565072
5 0.001 0.8887630913836163 0.8512985967632997
5 0.01 0.8882754136297883 0.8498661192194567
5 0.1 0.8877742216233503 0.8490398756787864
5 1.0 0.8866435327287453 0.845767748880921
6 0 0.9266477112874123 0.8821565393437513
6 1e-06 0.9266062119047757 0.8818128830333849
6 1e-05 0.9265905977245404 0.8817075897048382
6 0.0001 0.926559453252207 0.8814717076688575
6 0.001 0.9263918229013974 0.8807629838073943
6 0.01 0.9258452996191768 0.879280045683026
6 0.1 0.9246329499251067 0.8768627748724248
6 1.0 0.9220827768031218 0.8723400091420673
7 0 0.9511980268443031 0.8942759254094585
7 1e-06 0.951134171427477 0.8934610648561709
7 1e-05 0.9510010970761639 0.8924719575373534
7 0.0001 0.9508770579094735 0.8916354165327434
7 0.001 0.9507353217655935 0.8906986938895133
7 0.01 0.9505094623997645 0.889541744575282
7 0.1 0.9496547502419008 0.8873189341668781
7 1.0 0.9460385743111159 0.882204609274836
8 0 0.9656704768961694 0.8981899345971017
8 1e-06 0.9656680067995234 0.8981500725847132
8 1e-05 0.9656323121982047 0.897886703532034
8 0.0001 0.9655224372629888 0.8969446330630936
8 0.001 0.9653427821689889 0.895649971008909
8 0.01 0.9650025457331984 0.8939597747521966
8 0.1 0.9644186624278482 0.8915633300048605
8 1.0 0.961031712377708 0.8852522169316351
9 0 0.9751136769187926 0.9027020206225722
9 1e-06 0.9750598798328344 0.9022690128741725
9 1e-05 0.9750130323620809 0.9020342966015594
9 0.0001 0.9749668456504706 0.9018038743650769
9 0.001 0.9748877426371378 0.9010121376749847
9 0.01 0.9747690715471113 0.899910448731235
9 0.1 0.9743133704490278 0.8977930160094877
9 1.0 0.9708521295920607 0.8904735484993955
