layers   MSEtrain  MSEtest
1 0.08478984249819617 0.12487429964459426
2 0.06243664938607948 0.09980376142868372
3 0.04494085232917728 0.08587584711824538
4 0.034297138379844806 0.045253642785015244
5 0.031015756564220825 0.04214047970926867
6 0.024016652071893147 0.0413919253750163
7 0.055607456800268 0.0348108544703924
8 0.01947509189538989 0.02146650758502948
9 0.025084274083556048 0.04825026638762996
10 0.021459014916715986 0.041141718483233246
11 0.03003799015877324 0.029142234020220384
12 0.035174319559867544 0.023664569028736586
13 0.02554666048487498 0.02797298581336388
14 0.0642968040463032 0.10755423721159396
15 0.018042967313881574 0.024771135456947733
16 0.021972944054056465 0.03717914727041111
17 0.04017885952283799 0.052271899109620254
18 0.0392231127041791 0.01935244097975383
19 0.027719778196779853 0.03154858959902251
20 0.029814666434420094 0.03329920589313052
