layers   R2train  R2test
1 0.9144422802457115 0.8793052209447607
2 0.9369979092639003 0.9035366527075595
3 0.9546521524771034 0.9169984022043177
4 0.96539225846611 0.9562609885867049
5 0.9687033572665819 0.9592699546482529
6 0.975765847336643 0.9599934550021334
7 0.9438889486642548 0.966354258634595
8 0.9803485369770533 0.979251972604157
9 0.9746885566826438 0.9533646614428597
10 0.9783466470705315 0.9602352875137695
11 0.969689978560332 0.9718331513669567
12 0.9645071333218368 0.9771274798858545
13 0.9742219827985954 0.9729632650443822
14 0.9351209085945991 0.8960455839700073
15 0.9817936312240501 0.9760579500390965
16 0.9778280636670175 0.9640652321731862
17 0.9594572710383908 0.9494776320524775
18 0.9604216733306655 0.9812952817763246
19 0.9720291848087631 0.9695073360811975
20 0.9699153247581752 0.9678153126029541
