lambda   depth  R2train
0.0 1 0.9102733803684802
0.01 1 0.9102732315236394
0.1 1 0.9102861736554121
1.0 1 0.9093958522726199
10.0 1 0.9082139161147841
100.0 1 0.9028216049677592
0.0 2 0.9926526968592981
0.01 2 0.9931095671423922
0.1 2 0.9930239649560936
1.0 2 0.9921097731781287
10.0 2 0.9811926816312053
100.0 2 0.9394556087907394
0.0 3 0.9979991514777989
0.01 3 0.998047419491031
0.1 3 0.9981919138431448
1.0 3 0.998087195051214
10.0 3 0.9959767463138334
100.0 3 0.9583877569372434
0.0 4 0.999629735026392
0.01 4 0.9996636685406564
0.1 4 0.9996638381198865
1.0 4 0.9995348636665345
10.0 4 0.9982672996819765
100.0 4 0.9809382772364014
0.0 5 0.999925627257678
0.01 5 0.9999399733305852
0.1 5 0.9999218171051499
1.0 5 0.9998836146229022
10.0 5 0.9992434548587086
100.0 5 0.9886336387154366
0.0 6 0.9999884377155174
0.01 6 0.9999870265641734
0.1 6 0.9999870176629689
1.0 6 0.9999665056188848
10.0 6 0.9996429961851089
100.0 6 0.991452284384924
0.0 7 0.9999951041715581
0.01 7 0.9999928416935635
0.1 7 0.9999935432929133
1.0 7 0.9999894264345506
10.0 7 0.9997820728531186
100.0 7 0.993661933540102
0.0 8 0.9999952659969593
0.01 8 0.9999966070541573
0.1 8 0.9999933002619502
1.0 8 0.9999899645262558
10.0 8 0.9998643647126966
100.0 8 0.9943366879914846
